Model,Dataset,Strategy,N,Accuracy,Precision_macro,Recall_macro,F1_macro,Weighted_F1,Class0_Precision,Class0_Recall,Class0_F1,Class0_Support,Class1_Precision,Class1_Recall,Class1_F1,Class1_Support
xlm-roberta-large-xnli,GAHD,LOC_ONLY,10995,0.5631650750341064,0.5231595203131374,0.5132508208122457,0.476110179926428,0.5084110033454527,0.5834062090074333,0.8432611787012166,0.6896685404148091,6329.0,0.4629128316188414,0.18324046292327476,0.262551819438047,4666.0
xlm-roberta-large-xnli,GAHD,PER_ORG_LOC_TYPED,10995,0.5631650750341064,0.5218655299151828,0.5120400808449014,0.47203369939400486,0.5052104677148213,0.5826294130387698,0.8500553009954179,0.6913834093683737,6329.0,0.4611016467915957,0.17402486069438491,0.25268398941963593,4666.0
xlm-roberta-large-xnli,GAHD,X_LENGTH,10995,0.5597089586175534,0.5203512111142573,0.5126702467099615,0.4814227032508687,0.511897900506205,0.5832400984560304,0.8236688260388687,0.682910853474815,6329.0,0.4574623237724842,0.20167166738105444,0.2799345530269225,4666.0
xlm-roberta-large-xnli,GAHD,RANDOM_SUBSTITUTION,10995,0.5570713960891315,0.5138847215819882,0.5082392929707968,0.47284098292870225,0.5047124680449238,0.580509877496965,0.8310949597092747,0.6835607537361923,6329.0,0.44725956566701136,0.1853836262323189,0.26212121212121214,4666.0
deberta-v3-nli,GERMEVAL,UNMASKED,8407,0.751397644819793,0.750850094052959,0.6640956791541215,0.6751492743719901,0.7262748083010229,0.7517001881059181,0.9328425210989406,0.8325320512820513,5569.0,0.75,0.3953488372093023,0.5177664974619289,2838.0
deberta-v3-nli,GERMEVAL,PER_ORG_LOC_GENERIC_ENTITY,8407,0.7347448554775782,0.7390519720763176,0.6344193563204952,0.6390345471225672,0.699414508341679,0.7329426538300544,0.943257317292153,0.8249057788944724,5569.0,0.7451612903225806,0.32558139534883723,0.45316331535066207,2838.0
deberta-v3-nli,GERMEVAL,PER_ONLY,8407,0.7475912929701439,0.7485483870967742,0.657075543147528,0.6669399778353965,0.7201811529944478,0.7470967741935484,0.9357155683246543,0.8308354591836735,5569.0,0.75,0.3784355179704017,0.5030444964871195,2838.0
deberta-v3-nli,GERMEVAL,ORG_ONLY,8407,0.744498632092304,0.743884769904672,0.6530996363008708,0.6622321104317851,0.7163824769429631,0.7448117933304709,0.9344586101634046,0.828926409684613,5569.0,0.7429577464788732,0.37174066243833687,0.49553781117895723,2838.0
deberta-v3-nli,GERMEVAL,LOC_ONLY,8407,0.7467586535030332,0.7491234008221755,0.6548919057740732,0.6643323246895053,0.7183664831123916,0.7455739577384352,0.9376907882923325,0.8306688936610196,5569.0,0.7526728439059159,0.37209302325581395,0.49799575571799104,2838.0
deberta-v3-nli,GERMEVAL,PER_ORG_LOC_TYPED,8407,0.7352206494587843,0.7395014976566263,0.6352104756383843,0.6400418008929526,0.7001698220433774,0.7334171205138947,0.9430777518405459,0.8251374705420267,5569.0,0.7455858747993579,0.3273431994362227,0.45494613124387856,2838.0
deberta-v3-nli,GERMEVAL,X_LENGTH,8407,0.7416438682050672,0.7324214126916353,0.6545735535648551,0.6640168037193221,0.7164789450483421,0.7469108882104957,0.9226072903573352,0.8255141388174807,5569.0,0.7179319371727748,0.3865398167723749,0.5025194686211636,2838.0
deberta-v3-nli,GERMEVAL,RANDOM_SUBSTITUTION,8407,0.7266563577970738,0.7094478324670709,0.6355715363323928,0.6417378581363005,0.6983986014965673,0.735968835665849,0.9159633686478722,0.81616,5569.0,0.6829268292682927,0.35517970401691334,0.4673157162726008,2838.0
